マーケット,取引種別,価格,数量,合計数,手数料,コスト,損益,日時
btc_jpy,買い,485000.000000,0.002500,0.000000,0.000000,0.000000,0.000000,2017-10-3 21:11:17,
btc_jpy,買い,480000.000000,0.002500,0.000000,0.000000,0.000000,0.000000,2017-10-4 18:36:32,
btc_jpy,買い,475000.000000,0.001000,0.000000,0.000000,0.000000,0.000000,2017-10-5 8:48:39,
btc_jpy,買い,470000.000000,0.001000,0.000000,0.000000,0.000000,0.000000,2017-10-5 12:31:20,
btc_jpy,買い,845000.000000,0.023800,0.000000,0.000000,0.000000,0.000000,2017-11-8 22:13:27,
btc_jpy,売り,1055000.000000,0.002500,0.000000,0.000000,485000.000000,1425.000000,2017-12-1 0:34:20,
btc_jpy,売り,1055000.000000,0.002500,0.000000,0.000000,480000.000000,1437.500000,2017-12-1 0:34:20,
btc_jpy,売り,1055000.000000,0.001000,0.000000,0.000000,475000.000000,580.000000,2017-12-1 0:34:20,
btc_jpy,売り,1055000.000000,0.001000,0.000000,0.000000,470000.000000,585.000000,2017-12-1 0:34:20,
btc_jpy,売り,1055000.000000,0.010100,0.000000,0.000000,845000.000000,2121.000000,2017-12-1 0:34:20,
btc_jpy,売り,1066415.000000,0.005800,0.000000,0.000000,845000.000000,1284.207000,2017-12-1 1:0:37,
btc_jpy,売り,1067000.000000,0.002000,0.000000,0.000000,845000.000000,444.000000,2017-12-1 1:0:37,
btc_jpy,売り,1068550.000000,0.000800,0.000000,0.000000,845000.000000,178.840000,2017-12-1 1:0:37,
btc_jpy,買い,1055000.000000,0.008600,0.000000,0.000000,0.000000,0.000000,2017-12-1 1:40:31,
btc_jpy,買い,1125000.000000,0.016100,0.000000,0.000000,0.000000,0.000000,2017-12-1 6:40:12,
btc_jpy,売り,1150000.000000,0.005100,0.000000,0.000000,845000.000000,1555.500000,2017-12-1 6:50:59,
btc_jpy,売り,1150000.000000,0.007200,0.000000,0.000000,1055000.000000,684.000000,2017-12-1 6:50:59,
btc_jpy,売り,1200000.000000,0.001400,0.000000,0.000000,1055000.000000,203.000000,2017-12-1 8:19:53,
btc_jpy,売り,1200000.000000,0.004800,0.000000,0.000000,1125000.000000,360.000000,2017-12-1 8:19:53,
btc_jpy,買い,1100000.000000,0.009800,0.000000,0.000000,0.000000,0.000000,2017-12-1 16:10:9,
btc_jpy,売り,1180000.000000,0.009800,0.000000,0.000000,1125000.000000,539.000000,2017-12-1 22:10:16,
btc_jpy,売り,1200000.000000,0.001500,0.000000,0.000000,1125000.000000,112.500000,2017-12-1 22:36:11,
btc_jpy,売り,1200000.000000,0.002700,0.000000,0.000000,1100000.000000,270.000000,2017-12-1 22:36:11,
btc_jpy,売り,1186485.000000,0.007100,0.000000,0.000000,1100000.000000,614.043500,2017-12-1 23:54:12,
btc_jpy,売り,1186485.000000,0.003400,0.000000,0.000000,1236500.000000,-170.051000,2017-12-1 23:54:12,
btc_jpy,買い,1236500.000000,0.032200,0.000000,0.000000,0.000000,0.000000,2017-12-2 7:25:38,
btc_jpy,売り,1226000.000000,0.028800,0.000000,0.000000,1236500.000000,-302.400000,2017-12-2 7:33:37,
btc_jpy,売り,1226000.000000,0.003400,0.000000,0.000000,1231000.000000,-17.000000,2017-12-2 7:33:37,
btc_jpy,買い,1231000.000000,0.010000,0.000000,0.000000,0.000000,0.000000,2017-12-2 7:39:0,
btc_jpy,買い,1231000.000000,0.001000,0.000000,0.000000,0.000000,0.000000,2017-12-2 7:39:0,
btc_jpy,買い,1231000.000000,0.005000,0.000000,0.000000,0.000000,0.000000,2017-12-2 7:39:1,
btc_jpy,買い,1229000.000000,0.016100,0.000000,0.000000,0.000000,0.000000,2017-12-2 7:41:15,
btc_jpy,売り,1226795.000000,0.003900,0.000000,0.000000,1231000.000000,-16.399500,2017-12-2 7:46:53,
btc_jpy,売り,1226955.000000,0.002200,0.000000,0.000000,1231000.000000,-8.899000,2017-12-2 7:46:53,
btc_jpy,売り,1227165.000000,0.000500,0.000000,0.000000,1231000.000000,-1.917500,2017-12-2 7:46:53,
btc_jpy,売り,1227165.000000,0.001000,0.000000,0.000000,1231000.000000,-3.835000,2017-12-2 7:46:53,
btc_jpy,売り,1227165.000000,0.005000,0.000000,0.000000,1231000.000000,-19.175000,2017-12-2 7:46:53,
btc_jpy,売り,1227165.000000,0.016100,0.000000,0.000000,1229000.000000,-29.543500,2017-12-2 7:46:53,
btc_jpy,売り,1227165.000000,0.000100,0.000000,0.000000,1237830.000000,-1.066500,2017-12-2 7:46:53,
btc_jpy,売り,1227165.000000,0.003300,0.000000,0.000000,1237825.000000,-35.178000,2017-12-2 7:46:53,
btc_jpy,買い,1237830.000000,0.000100,0.000000,0.000000,0.000000,0.000000,2017-12-2 17:30:20,
btc_jpy,買い,1237825.000000,0.010000,0.000000,0.000000,0.000000,0.000000,2017-12-2 17:30:20,
btc_jpy,買い,1237820.000000,0.004400,0.000000,0.000000,0.000000,0.000000,2017-12-2 17:30:20,
btc_jpy,買い,1237800.000000,0.000400,0.000000,0.000000,0.000000,0.000000,2017-12-2 17:30:20,
btc_jpy,買い,1237505.000000,0.001000,0.000000,0.000000,0.000000,0.000000,2017-12-2 17:30:20,
btc_jpy,売り,1234005.000000,0.006700,0.000000,0.000000,1237825.000000,-25.594000,2017-12-2 17:37:17,
btc_jpy,売り,1234005.000000,0.001200,0.000000,0.000000,1237820.000000,-4.578000,2017-12-2 17:37:17,
btc_jpy,買い,1234000.000000,0.011900,0.000000,0.000000,0.000000,0.000000,2017-12-2 17:42:33,
btc_jpy,売り,1240000.000000,0.003200,0.000000,0.000000,1237820.000000,6.976000,2017-12-2 18:1:25,
btc_jpy,売り,1240000.000000,0.000400,0.000000,0.000000,1237800.000000,0.880000,2017-12-2 18:1:25,
btc_jpy,売り,1240000.000000,0.001000,0.000000,0.000000,1237505.000000,2.495000,2017-12-2 18:1:25,
btc_jpy,売り,1240000.000000,0.007300,0.000000,0.000000,1234000.000000,43.800000,2017-12-2 18:1:25,
btc_jpy,売り,1241000.000000,0.004600,0.000000,0.000000,1234000.000000,32.200000,2017-12-2 18:1:51,
btc_jpy,売り,1241000.000000,0.003400,0.000000,0.000000,1246990.000000,-20.366000,2017-12-2 18:1:51,
btc_jpy,買い,1246990.000000,0.031700,0.000000,0.000000,0.000000,0.000000,2017-12-2 18:11:16,
btc_jpy,売り,1247800.000000,0.015800,0.000000,0.000000,1246990.000000,12.798000,2017-12-2 18:17:37,
btc_jpy,売り,1249000.000000,0.005200,0.000000,0.000000,1246990.000000,10.452000,2017-12-2 18:18:43,
btc_jpy,売り,1249000.000000,0.005000,0.000000,0.000000,1246990.000000,10.050000,2017-12-2 18:18:47,
btc_jpy,売り,1249000.000000,0.002300,0.000000,0.000000,1246990.000000,4.623000,2017-12-2 18:18:52,
btc_jpy,売り,1249000.000000,0.003400,0.000000,0.000000,1248500.000000,1.700000,2017-12-2 18:18:52,
btc_jpy,買い,1248500.000000,0.012000,0.000000,0.000000,0.000000,0.000000,2017-12-2 18:19:28,
btc_jpy,買い,1248500.000000,0.019700,0.000000,0.000000,0.000000,0.000000,2017-12-2 18:19:28,
btc_jpy,売り,1249000.000000,0.008300,0.000000,0.000000,1248500.000000,4.150000,2017-12-2 18:19:41,
btc_jpy,売り,1249000.000000,0.000300,0.000000,0.000000,1248500.000000,0.150000,2017-12-2 18:19:42,
btc_jpy,売り,1249000.000000,0.008700,0.000000,0.000000,1248500.000000,4.350000,2017-12-2 18:19:42,
btc_jpy,売り,1249000.000000,0.011000,0.000000,0.000000,1248500.000000,5.500000,2017-12-2 18:19:46,
btc_jpy,売り,1249000.000000,0.001000,0.000000,0.000000,1248500.000000,0.500000,2017-12-2 18:19:46,
btc_jpy,売り,1249000.000000,0.002400,0.000000,0.000000,1248500.000000,1.200000,2017-12-2 18:19:46,
btc_jpy,買い,1248500.000000,0.031700,0.000000,0.000000,0.000000,0.000000,2017-12-2 18:20:28,
btc_jpy,売り,1249000.000000,0.028300,0.000000,0.000000,1248500.000000,14.150000,2017-12-2 18:20:29,
btc_jpy,売り,1249000.000000,0.003400,0.000000,0.000000,1248500.000000,1.700000,2017-12-2 18:20:29,
btc_jpy,買い,1248500.000000,0.031700,0.000000,0.000000,0.000000,0.000000,2017-12-2 18:21:9,
btc_jpy,売り,1249000.000000,0.028300,0.000000,0.000000,1248500.000000,14.150000,2017-12-2 18:25:29,
btc_jpy,売り,1249000.000000,0.003400,0.000000,0.000000,1245100.000000,13.260000,2017-12-2 18:25:29,
btc_jpy,買い,1245100.000000,0.031800,0.000000,0.000000,0.000000,0.000000,2017-12-2 18:33:29,
btc_jpy,売り,1245500.000000,0.028400,0.000000,0.000000,1245100.000000,11.360000,2017-12-2 18:41:26,
btc_jpy,売り,1245500.000000,0.003400,0.000000,0.000000,1244500.000000,3.400000,2017-12-2 18:41:26,
btc_jpy,買い,1244500.000000,0.031900,0.000000,0.000000,0.000000,0.000000,2017-12-2 18:56:43,
btc_jpy,売り,1245000.000000,0.028500,0.000000,0.000000,1244500.000000,14.250000,2017-12-2 18:57:2,
btc_jpy,売り,1245000.000000,0.003400,0.000000,0.000000,1246000.000000,-3.400000,2017-12-2 18:57:2,
btc_jpy,買い,1246000.000000,0.031800,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:26:34,
btc_jpy,売り,1246500.000000,0.002500,0.000000,0.000000,1246000.000000,1.250000,2017-12-2 19:28:31,
btc_jpy,売り,1246500.000000,0.025900,0.000000,0.000000,1246000.000000,12.950000,2017-12-2 19:28:32,
btc_jpy,売り,1246500.000000,0.003400,0.000000,0.000000,1249500.000000,-10.200000,2017-12-2 19:28:32,
btc_jpy,買い,1249500.000000,0.031700,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:39:8,
btc_jpy,売り,1250000.000000,0.028300,0.000000,0.000000,1249500.000000,14.150000,2017-12-2 19:43:8,
btc_jpy,売り,1250000.000000,0.000200,0.000000,0.000000,1247500.000000,0.500000,2017-12-2 19:43:8,
btc_jpy,売り,1250000.000000,0.003200,0.000000,0.000000,1247500.000000,8.000000,2017-12-2 19:43:13,
btc_jpy,買い,1247500.000000,0.031800,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:47:30,
btc_jpy,売り,1248000.000000,0.028400,0.000000,0.000000,1247500.000000,14.200000,2017-12-2 19:47:50,
btc_jpy,売り,1248000.000000,0.003400,0.000000,0.000000,1247500.000000,1.700000,2017-12-2 19:47:50,
btc_jpy,買い,1247500.000000,0.004900,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:49:48,
btc_jpy,買い,1247500.000000,0.009000,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:49:52,
btc_jpy,買い,1247500.000000,0.017900,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:49:53,
btc_jpy,売り,1248000.000000,0.001500,0.000000,0.000000,1247500.000000,0.750000,2017-12-2 19:52:18,
btc_jpy,売り,1248000.000000,0.009000,0.000000,0.000000,1247500.000000,4.500000,2017-12-2 19:52:18,
btc_jpy,売り,1248000.000000,0.003400,0.000000,0.000000,1247500.000000,1.700000,2017-12-2 19:52:18,
btc_jpy,売り,1248000.000000,0.009000,0.000000,0.000000,1247500.000000,4.500000,2017-12-2 19:52:18,
btc_jpy,売り,1248000.000000,0.004900,0.000000,0.000000,1247500.000000,2.450000,2017-12-2 19:52:18,
btc_jpy,買い,1246990.000000,0.025000,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:54:12,
btc_jpy,買い,1246985.000000,0.002800,0.000000,0.000000,0.000000,0.000000,2017-12-2 19:54:12,
btc_jpy,売り,1242560.000000,0.000600,0.000000,0.000000,1247500.000000,-2.964000,2017-12-2 20:6:51,
btc_jpy,売り,1242560.000000,0.018400,0.000000,0.000000,1246990.000000,-81.512000,2017-12-2 20:6:51,
btc_jpy,売り,1242560.000000,0.006600,0.000000,0.000000,1246990.000000,-29.238000,2017-12-2 20:6:51,
btc_jpy,売り,1242560.000000,0.002800,0.000000,0.000000,1246985.000000,-12.390000,2017-12-2 20:6:51,
btc_jpy,売り,1242560.000000,0.003400,0.000000,0.000000,1240000.000000,8.704000,2017-12-2 20:6:51,
btc_jpy,買い,1240000.000000,0.031900,0.000000,0.000000,0.000000,0.000000,2017-12-2 20:15:30,
btc_jpy,売り,1241000.000000,0.028500,0.000000,0.000000,1240000.000000,28.500000,2017-12-2 20:15:38,
btc_jpy,売り,1241000.000000,0.001500,0.000000,0.000000,1240000.000000,1.500000,2017-12-2 20:15:38,
btc_jpy,売り,1241000.000000,0.001900,0.000000,0.000000,1240000.000000,1.900000,2017-12-2 20:16:23,
btc_jpy,買い,1240000.000000,0.031900,0.000000,0.000000,0.000000,0.000000,2017-12-2 20:17:44,
btc_jpy,売り,1225000.000000,0.028500,0.000000,0.000000,1240000.000000,-427.500000,2017-12-2 20:45:14,
btc_jpy,売り,1225000.000000,0.003400,0.000000,0.000000,1238000.000000,-44.200000,2017-12-2 20:45:14,
btc_jpy,買い,1238000.000000,0.009400,0.000000,0.000000,0.000000,0.000000,2017-12-2 22:49:2,
btc_jpy,売り,1240000.000000,0.006000,0.000000,0.000000,1238000.000000,12.000000,2017-12-2 22:51:11,
btc_jpy,売り,1240000.000000,0.003400,0.000000,0.000000,1235000.000000,17.000000,2017-12-2 22:51:11,
btc_jpy,買い,1235000.000000,0.006600,0.000000,0.000000,0.000000,0.000000,2017-12-2 22:54:56,
btc_jpy,売り,1238000.000000,0.003200,0.000000,0.000000,1235000.000000,9.600000,2017-12-2 23:1:0,
btc_jpy,売り,1238000.000000,0.003400,0.000000,0.000000,1238000.000000,0.000000,2017-12-2 23:1:0,
btc_jpy,買い,1238000.000000,0.006400,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:13:28,
btc_jpy,買い,1235000.000000,0.006300,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:26:55,
btc_jpy,買い,1230000.000000,0.007800,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:29:20,
btc_jpy,買い,1227000.000000,0.005200,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:33:51,
btc_jpy,買い,1225000.000000,0.006100,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:36:42,
btc_jpy,売り,1227000.000000,0.003000,0.000000,0.000000,1238000.000000,-33.000000,2017-12-2 23:41:45,
btc_jpy,売り,1227000.000000,0.003100,0.000000,0.000000,1235000.000000,-24.800000,2017-12-2 23:41:45,
btc_jpy,売り,1230000.000000,0.003200,0.000000,0.000000,1235000.000000,-16.000000,2017-12-2 23:43:7,
btc_jpy,売り,1230000.000000,0.002000,0.000000,0.000000,1230000.000000,0.000000,2017-12-2 23:43:7,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:3:6,
btc_jpy,売り,1227000.000000,0.005800,0.000000,0.000000,1230000.000000,-17.400000,2017-12-3 0:3:18,
btc_jpy,売り,1227000.000000,0.002200,0.000000,0.000000,1227000.000000,0.000000,2017-12-3 0:3:18,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:7:22,
btc_jpy,売り,1227500.000000,0.003000,0.000000,0.000000,1227000.000000,1.500000,2017-12-3 0:7:50,
btc_jpy,売り,1227500.000000,0.005000,0.000000,0.000000,1225000.000000,12.500000,2017-12-3 0:7:50,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:11:15,
btc_jpy,売り,1227500.000000,0.001100,0.000000,0.000000,1225000.000000,2.750000,2017-12-3 0:11:28,
btc_jpy,売り,1227500.000000,0.006900,0.000000,0.000000,1225000.000000,17.250000,2017-12-3 0:11:28,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:24:11,
btc_jpy,買い,1222000.000000,0.003400,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:51:30,
btc_jpy,売り,1224000.000000,0.001100,0.000000,0.000000,1225000.000000,-1.100000,2017-12-3 1:54:2,
btc_jpy,売り,1224000.000000,0.002300,0.000000,0.000000,1225000.000000,-2.300000,2017-12-3 1:54:2,
btc_jpy,売り,1227500.000000,0.005700,0.000000,0.000000,1225000.000000,14.250000,2017-12-3 1:56:53,
btc_jpy,売り,1227500.000000,0.002300,0.000000,0.000000,1225000.000000,5.750000,2017-12-3 1:56:53,
btc_jpy,売り,1235000.000000,0.005700,0.000000,0.000000,1225000.000000,57.000000,2017-12-3 3:6:43,
btc_jpy,売り,1235000.000000,0.002100,0.000000,0.000000,1225000.000000,21.000000,2017-12-3 3:6:43,
btc_jpy,売り,1238000.000000,0.005900,0.000000,0.000000,1225000.000000,76.700000,2017-12-3 3:7:55,
btc_jpy,売り,1238000.000000,0.000400,0.000000,0.000000,1222000.000000,6.400000,2017-12-3 3:7:55,
btc_jpy,売り,1240000.000000,0.003000,0.000000,0.000000,1222000.000000,54.000000,2017-12-3 5:58:27,
btc_jpy,売り,1240000.000000,0.003400,0.000000,0.000000,1235000.000000,17.000000,2017-12-3 5:58:27,
btc_jpy,買い,1235000.000000,0.009600,0.000000,0.000000,0.000000,0.000000,2017-12-3 12:5:10,
btc_jpy,売り,1240000.000000,0.006200,0.000000,0.000000,1235000.000000,31.000000,2017-12-3 12:39:2,
